year,mean_natl_dem,mean_natl_rep,mean_natl_dem_margin,mean_days_until_election,rdi_change_pct,D_natl_majorvote_pct,D_natl_votemargin,poll_vote_diff,dem_seats
1960,55.5,37.5,18,28.75,0.3376304481276904,54.35,8.700000000000003,1.1499999999999986,262
1962,56,40,16,24.75,1.4080517904106804,52.87,5.739999999999995,3.1300000000000026,258
1964,59,31.5,27.5,33.5,2.8202502011851704,57.27,14.540000000000006,1.7299999999999969,295
1966,51.8,40.6,11.2,23.2,2.844674847430917,50.86,1.7199999999999989,0.9400000000000008,248
1968,47,43.666666666666664,3.333333333333333,32.833333333333336,1.5313889966864558,50.92,1.8400000000000034,-3.9200000000000017,243
1970,52,38,14,23.3,0.9453202513504566,54.22,8.439999999999998,-2.219999999999999,255
1972,48,39,9,33.833333333333336,6.895224409145739,52.82,5.640000000000001,-4.82,242
1974,57,29.6,27.4,24.2,-0.3632713541417698,58.57,17.14,-1.5700000000000003,291
1976,52.333333333333336,31.666666666666668,20.666666666666668,18.5,1.628376386274466,57.19,14.379999999999995,-4.856666666666665,292
1978,49.375,31,18.375,29.4375,1.2592343854936239,54.31,8.620000000000005,-4.935000000000002,277
1980,45,36,9,19.5,2.2311872221307594,51.28,2.5600000000000023,-6.280000000000001,242
1982,52,38.6,13.4,25,0.3028832152218275,56.15,12.299999999999997,-4.149999999999999,269
1984,45.1764705882353,39.64705882352941,5.529411764705882,20.61764705882353,2.417980400511288,52.72,5.439999999999998,-7.5435294117647045,253
1986,47.666666666666664,39.833333333333336,7.833333333333334,17.916666666666668,0.7963857606885449,55.19,10.379999999999995,-7.523333333333331,258
1988,44,37.5,6.5,21.333333333333332,1.9839424656684868,54,8,-10,260
1990,46.583333333333336,39.25,7.333333333333333,16.541666666666668,-1.1011639624377567,54.09,8.180000000000007,-7.5066666666666695,267
1992,47.54545454545455,37.09090909090909,10.454545454545455,18.772727272727273,0.24884365026924815,52.86,5.719999999999999,-5.314545454545454,258
1994,42.6,42.45,0.14999999999999977,22.525,2.600303210785637,46.41,-7.180000000000007,-3.809999999999996,204
1996,47.57446808510638,41.1063829787234,6.468085106382978,21.127659574468087,2.3864070255822822,50.16,0.3199999999999932,-2.5855319148936133,207
1998,45.44897959183673,44.36734693877551,1.0816326530612248,23.96938775510204,2.350959763750482,49.39,-1.2199999999999989,-3.941020408163266,211
2000,42.471698113207545,41,1.471698113207547,23.60377358490566,1.7992072010797333,49.77,-0.45999999999999375,-7.298301886792456,212
2002,45.054545454545455,43.63636363636363,1.4181818181818184,25.81818181818182,0.7921049214387743,47.45,-5.099999999999994,-2.3954545454545486,204
2004,43.9,45.96666666666667,-2.066666666666667,19.799999999999997,0.9852263370590864,48.63,-2.739999999999995,-4.730000000000002,202
2006,51.416666666666664,37.885416666666664,13.53125,21.682291666666664,1.6370005003931487,54.09,8.180000000000007,-2.6733333333333364,233
2010,43.022222222222226,47.84444444444444,-4.822222222222221,23.822222222222223,1.7136530108168069,46.53,-6.939999999999998,-3.507777777777779,193
2012,45.3,45.35,-0.050000000000000024,23.7,1.730439382524085,50.61,1.2199999999999989,-5.31,200
2014,43.705882352941174,45.470588235294116,-1.7647058823529411,20.676470588235297,2.876374101624557,47.09,-5.819999999999993,-3.3841176470588272,188
2016,45.71875,42.03125,3.6875,24.125,1.0943962789054629,49.5,-1,-3.78125,194
2018,48.41025641025641,41.282051282051285,7.128205128205129,27,1.502263068790377,54.35,8.700000000000003,-5.939743589743592,235
2020,49.666666666666664,42.266666666666666,7.4,19.866666666666664,-10.766756094445018,51.5,3,-1.8333333333333335,222
