year,mean_dem,mean_rep,mean_dem_margin,mean_days_until_election,rdi_change_pct,D_seats
1960,55.5,37.5,18,28.75,0.3376304481276904,262
1962,56,40,16,24.75,1.4080517904106804,258
1964,59,31.5,27.5,33.5,2.8202502011851704,295
1966,51.8,40.6,11.2,23.2,2.844674847430917,248
1968,47,43.666666666666664,3.333333333333333,32.833333333333336,1.5313889966864558,243
1970,52,38,14,23.3,0.9453202513504566,255
1972,48,39,9,33.833333333333336,6.895224409145739,242
1974,57,29.6,27.4,24.2,-0.3632713541417698,291
1976,52.333333333333336,31.666666666666668,20.666666666666668,18.5,1.628376386274466,292
1978,49.375,31,18.375,29.4375,1.2592343854936239,277
1980,45,36,9,19.5,2.2311872221307594,242
1982,52,38.6,13.4,25,0.3028832152218275,269
1984,45.1764705882353,39.64705882352941,5.529411764705882,20.61764705882353,2.417980400511288,253
1986,47.666666666666664,39.833333333333336,7.833333333333334,17.916666666666668,0.7963857606885449,258
1988,44,37.5,6.5,21.333333333333332,1.9839424656684868,260
1990,46.583333333333336,39.25,7.333333333333333,16.541666666666668,-1.1011639624377567,267
1992,47.54545454545455,37.09090909090909,10.454545454545455,18.772727272727273,0.24884365026924815,258
1994,42.6,42.45,0.14999999999999977,22.525,2.600303210785637,204
1996,47.57446808510638,41.1063829787234,6.468085106382978,21.127659574468087,2.3864070255822822,207
1998,45.44897959183673,44.36734693877551,1.0816326530612248,23.96938775510204,2.350959763750482,211
2000,42.471698113207545,41,1.471698113207547,23.60377358490566,1.7992072010797333,212
2002,45.054545454545455,43.63636363636363,1.4181818181818184,25.81818181818182,0.7921049214387743,204
2004,43.9,45.96666666666667,-2.066666666666667,19.799999999999997,0.9852263370590864,202
2006,51.416666666666664,37.885416666666664,13.53125,21.682291666666664,1.6370005003931487,233
2010,43.022222222222226,47.84444444444444,-4.822222222222221,23.822222222222223,1.7136530108168069,193
2012,45.3,45.35,-0.050000000000000024,23.7,1.730439382524085,200
2014,43.705882352941174,45.470588235294116,-1.7647058823529411,20.676470588235297,2.876374101624557,188
2016,45.71875,42.03125,3.6875,24.125,1.0943962789054629,194
2018,48.41025641025641,41.282051282051285,7.128205128205129,27,1.502263068790377,235
2020,49.666666666666664,42.266666666666666,7.4,19.866666666666664,-10.766756094445018,222
