state,district,data
Arizona,1,
Arizona,2,
Arizona,8,
Arizona,9,
Arkansas,1,
Arkansas,2,
Arkansas,4,
California,10,
California,16,
California,21,
California,24,
California,25,
California,3,
California,36,
California,49,
California,52,
California,7,
Colorado,3,
Colorado,6,
Colorado,7,
Connecticut,5,
Florida,13,
Florida,16,
Florida,18,
Florida,2,
Florida,22,
Florida,25,
Florida,26,
Florida,27,
Florida,7,
Georgia,12,
Hawaii,1,
Illinois,10,
Illinois,11,
Illinois,12,
Illinois,13,
Illinois,17,
Indiana,2,
Indiana,8,
Indiana,9,
Iowa,1,
Iowa,2,
Iowa,3,
Iowa,4,
Kansas,3,
Kentucky,6,
Maine,2,
Massachusetts,6,
Michigan,11,
Michigan,6,
Michigan,7,
Michigan,8,
Minnesota,2,
Minnesota,3,
Minnesota,6,
Minnesota,7,
Minnesota,8,
Nebraska,2,
Nevada,3,
Nevada,4,
New Hampshire,1,
New Hampshire,2,
New Jersey,3,
New Mexico,1,
New Mexico,2,
New York,1,
New York,18,
New York,19,
New York,21,
New York,22,
New York,23,
New York,24,
New York,25,
New York,27,
North Carolina,11,
North Carolina,2,
North Carolina,7,
North Carolina,8,
Ohio,1,
Ohio,12,
Ohio,14,
Ohio,15,
Ohio,16,
Ohio,6,
Ohio,7,
Pennsylvania,10,
Pennsylvania,11,
Pennsylvania,12,
Pennsylvania,16,
Pennsylvania,17,
Pennsylvania,8,
Rhode Island,1,
Tennessee,4,
Texas,23,
Utah,4,
Virginia,10,
Virginia,2,
Virginia,5,
Washington,3,
Washington,8,
West Virginia,2,
West Virginia,3,
Wisconsin,6,
Wisconsin,7,
Wisconsin,8,
